ED,ED_num,Zohran_Mamdani,Andrew_Cuomo,Irene_Estrada,Curtis_Sliwa,Eric_Adams,total_votes,Mamdani_pct,Cuomo_pct,Estrada_pct,Sliwa_pct,Adams_pct,winner
34001,1,482,312,1,107,0,902,53.4,34.6,0.1,11.9,0,Mamdani
34002,2,57,57,2,10,0,126,45.2,45.2,1.6,7.9,0,Mamdani
34003,3,322,182,0,42,0,546,59,33.3,0,7.7,0,Mamdani
34004,4,483,157,1,48,0,689,70.1,22.8,0.1,7,0,Mamdani
34005,5,557,222,1,61,2,843,66.1,26.3,0.1,7.2,0.2,Mamdani
34006,6,27,31,0,8,0,66,40.9,47,0,12.1,0,Cuomo
34007,7,504,192,4,44,1,745,67.7,25.8,0.5,5.9,0.1,Mamdani
34008,8,567,247,0,58,2,874,64.9,28.3,0,6.6,0.2,Mamdani
34009,9,379,227,0,77,0,683,55.5,33.2,0,11.3,0,Mamdani
34010,10,227,169,1,39,0,436,52.1,38.8,0.2,8.9,0,Mamdani
34011,11,126,99,0,18,1,244,51.6,40.6,0,7.4,0.4,Mamdani
34012,12,674,248,0,52,2,976,69.1,25.4,0,5.3,0.2,Mamdani
34013,13,573,226,0,64,1,864,66.3,26.2,0,7.4,0.1,Mamdani
34014,14,562,339,1,92,0,994,56.5,34.1,0.1,9.3,0,Mamdani
34015,15,135,161,1,49,0,346,39,46.5,0.3,14.2,0,Cuomo
34016,16,94,147,1,44,0,286,32.9,51.4,0.3,15.4,0,Cuomo
34017,17,411,219,0,59,2,691,59.5,31.7,0,8.5,0.3,Mamdani
34018,18,514,236,0,47,2,799,64.3,29.5,0,5.9,0.3,Mamdani
34019,19,506,193,0,54,3,756,66.9,25.5,0,7.1,0.4,Mamdani
34020,20,535,237,1,76,1,850,62.9,27.9,0.1,8.9,0.1,Mamdani
34021,21,196,185,3,18,2,404,48.5,45.8,0.7,4.5,0.5,Mamdani
34022,22,112,96,1,20,0,229,48.9,41.9,0.4,8.7,0,Mamdani
34023,23,152,72,0,21,2,247,61.5,29.1,0,8.5,0.8,Mamdani
34024,24,451,192,0,69,1,713,63.3,26.9,0,9.7,0.1,Mamdani
34025,25,393,291,0,61,2,747,52.6,39,0,8.2,0.3,Mamdani
34026,26,48,37,0,7,0,92,52.2,40.2,0,7.6,0,Mamdani
34027,27,229,252,1,67,1,550,41.6,45.8,0.2,12.2,0.2,Cuomo
34028,28,140,90,2,21,2,255,54.9,35.3,0.8,8.2,0.8,Mamdani
34029,29,213,181,1,29,1,425,50.1,42.6,0.2,6.8,0.2,Mamdani
34030,30,221,176,0,37,1,435,50.8,40.5,0,8.5,0.2,Mamdani
34031,31,405,199,2,42,2,650,62.3,30.6,0.3,6.5,0.3,Mamdani
34032,32,204,144,1,35,0,384,53.1,37.5,0.3,9.1,0,Mamdani
34033,33,127,108,1,20,1,257,49.4,42,0.4,7.8,0.4,Mamdani
34034,34,251,156,3,38,2,450,55.8,34.7,0.7,8.4,0.4,Mamdani
34035,35,179,110,1,22,0,312,57.4,35.3,0.3,7.1,0,Mamdani
34036,36,394,191,1,58,2,646,61,29.6,0.2,9,0.3,Mamdani
34037,37,168,114,4,25,0,311,54,36.7,1.3,8,0,Mamdani
34038,38,190,82,2,22,1,297,64,27.6,0.7,7.4,0.3,Mamdani
34039,39,415,193,1,37,2,648,64,29.8,0.2,5.7,0.3,Mamdani
34040,40,182,138,2,39,1,362,50.3,38.1,0.6,10.8,0.3,Mamdani
34041,41,391,254,2,56,2,705,55.5,36,0.3,7.9,0.3,Mamdani
34042,42,268,194,1,37,1,501,53.5,38.7,0.2,7.4,0.2,Mamdani
34043,43,288,181,2,38,0,509,56.6,35.6,0.4,7.5,0,Mamdani
34044,44,286,211,5,38,1,541,52.9,39,0.9,7,0.2,Mamdani
34045,45,139,68,1,25,0,233,59.7,29.2,0.4,10.7,0,Mamdani
34046,46,342,295,2,52,2,693,49.4,42.6,0.3,7.5,0.3,Mamdani
34047,47,268,286,1,62,2,619,43.3,46.2,0.2,10,0.3,Cuomo
34048,48,225,125,0,27,2,379,59.4,33,0,7.1,0.5,Mamdani
34049,49,386,245,2,41,1,675,57.2,36.3,0.3,6.1,0.1,Mamdani
34050,50,63,31,2,16,1,113,55.8,27.4,1.8,14.2,0.9,Mamdani
34051,51,268,236,1,54,2,561,47.8,42.1,0.2,9.6,0.4,Mamdani
34052,52,397,219,1,55,0,672,59.1,32.6,0.1,8.2,0,Mamdani
34053,53,5,0,0,0,0,5,100,0,0,0,0,Mamdani
34054,54,197,168,1,36,1,403,48.9,41.7,0.2,8.9,0.2,Mamdani
34055,55,87,43,0,11,0,141,61.7,30.5,0,7.8,0,Mamdani
34056,56,183,184,0,42,3,412,44.4,44.7,0,10.2,0.7,Cuomo
34057,57,17,11,0,6,0,34,50,32.4,0,17.6,0,Mamdani
34058,58,0,0,0,0,0,0,NA,NA,NA,NA,NA,Mamdani
34059,59,0,0,0,0,0,0,NA,NA,NA,NA,NA,Mamdani
34060,60,0,0,0,0,0,0,NA,NA,NA,NA,NA,Mamdani
